sentence	count
current	180
began	180
top	179
written	178
film	178
Saint	177
field	177
jumping	177
United	177
table	176
using	176
American	176
air	176
pink	175
left	175
few	174
girls	173
following	173
member	172
orange	172
want	172
something	172
know	171
across	171
worked	171
series	170
need	169
side	169
car	169
however,	169
various	167
based	167
son	167
team	166
go	165
am	164
That	164
song	164
how	164
football	164
form	163
important	163
including	163
major	162
considered	162
jacket	162
look	161
set	161
become	160
don't	159
South	159
village	158
without	157
It's	157
taking	156
My	156
older	155
common	155
show	154
think	154
boys	152
looks	151
North	151
popular	150
open	150
head	149
National	149
Both	149
If	148
couple	148
original	148
includes	147
usually	147
won	147
line	146
died	146
held	146
To	146
doing	145
find	145
British	145
our	145
year	145
great	145
runs	144
holds	144
park	144
attended	144
company	143
former	143
carrying	142
best	142
father	141
stand	141
way	141
even	140
together	140
crowd	140
Their	140
bike	140
run	139
soccer	139
life	139
members	139
road	138
year.	138
rock	137
Other	137
Asian	137
community	137
Four	136
saw	136
going	136
come	136
High	136
built	136
always	135
sometimes	135
walks	135
since	135
short	135
having	135
them.	134
day.	134
place	133
too	133
works	133
appeared	132
making	131
talking	131
years.	131
throughout	131
full	130
single	130
seen	130
house	129
room	129
building.	128
food	128
largest	128
On	128
produced	127
female	126
given	126
six	125
How	125
County	125
seat	125
released	124
national	124
moved	124
term	124
English	123
upon	123
lady	122
light	122
Each	122
Please	122
performing	122
every	121
hair	121
county	120
continued	120
baby	119
walk	119
got	119
seven	119
I'm	118
end	118
French	118
field.	118
time,	118
mother	118
third	118
available	117
towards	117
means	117
snow	117
face	116
led	116
her.	116
eventually	116
those	116
West	115
wrote	115
city.	115
created	115
day	114
people.	114
male	114
state	113
Young	113
among	112
hand	112
movie	111
buried	111
provided	111
gave	110
live	110
Then	110
similar	110
published	109
close	109
construction	109
until	109
River	108
covered	108
—	108
children.	108
thought	107
species	107
dark	107
system	107
shorts	107
service	107
beach.	106
dress	106
because	106
help	106
lives	106
takes	106
beach	106
No	106
restaurant	106
getting	106
City	106
's	105
stage	105
again	104
soon	104
himself	104
better	103
ground	103
studied	103
times	103
grew	103
grass	102
players	102
sit	102
returned	102
mostly	101
north	101
blond	101
me.	101
guitar	101
game.	101
World	100
Mr.	100
State	100
give	100
appears	100
started	100
songs	100
contains	99
makes	99
baseball	99
type	99
hands	99
final	99
above	99
said.	98
gray	98
"""I"	98
taken	98
body	98
jeans	98
government	98
wife	98
features	97
remains	97
picture	97
right	97
political	97
put	97
big	97
word	97
middle	97
site	96
river	96
train	96
park.	96
on.	96
described	96
sidewalk	96
With	96
ball.	96
developed	95
designed	95
Park	95
role	95
track	95
quite	95
looked	95
lies	95
Is	95
generally	94
boat	94
reading	94
James	94
business	94
us	93
list	93
almost	92
students	92
changed	92
recorded	92
eating	92
shows	91
television	91
version	91
others	91
point	91
say	91
past	91
death	90
brought	90
referred	90
due	90
traditional	90
featured	90
lost	90
inside	90
Do	90
away	90
Can	90
While	89
William	89
remained	89
title	89
background.	88
School.	88
German	88
ever	88
jumps	88
originally	88
brother	88
nothing	88
busy	88
once	88
town.	87
smiling	87
hard	87
swimming	87
wall	87
further	87
land	87
mainly	87
watching	87
here	87
career	87
really	86
musical	86
points	86
support	86
race	86
ten	86
rather	86
less	86
story	85
video	85
life.	85
south	85
again.	85
uses	85
said,	85
University.	84
nearby	84
keep	84
well.	84
daughter	84
performed	83
wall.	83
club	83
suit	83
tennis	83
private	82
6	82
turned	82
fire	82
Woman	82
sidewalk.	82
Lake	82
art	82
workers	82
glasses	82
it's	81
professional	81
Not	81
Give	81
stars	81
serves	81
joined	80
snow.	80
guy	80
free	80
international	80
famous	80
-	80
district	79
church	79
either	79
power	79
bicycle	79
college	79
research	78
paper	78
out.	78
police	78
world	78
wooden	78
ice	77
work.	77
office	77
European	77
Little	77
lived	77
schools	77
So	77
active	77
consists	77
grass.	77
forms	77
modern	76
floor	76
Add	76
Play	76
Robert	76
dirt	76
involved	76
party	76
system.	76
College	76
perform	76
writing	75
coat	75
San	75
together.	75
world.	75
family.	74
country	74
books	74
elderly	74
camera	74
official	74
character	74
design	74
night	74
posing	74
island	74
formed	74
States	74
half	74
climbing	74
there.	73
voice	73
mountain	73
market	73
See	73
style	73
year,	73
bench	73
spent	73
real	73
followed	73
East	72
playlist	72
basketball	72
surrounded	72
replaced	72
lead	72
weather	72
met	72
numerous	72
room.	72
trying	72
outdoor	72
native	72
general	71
California.	71
sent	71
England.	71
commonly	71
done	71
King	71
quickly	71
kids	71
Chinese	71
production	71
Five	71
military	70
York	70
school.	70
capital	70
result	70
established	70
owned	70
machine	70
told	70
war	70
road.	70
typically	69
human	69
add	69
name.	69
able	69
situated	69
George	69
successful	69
board	69
order	69
operated	69
social	69
provides	69
days	69
it,	69
raised	69
eight	68
Despite	68
tell	68
horse	68
waiting	68
central	68
offers	68
camera.	68
law	68
War	68
Black	67
west	67
Red	67
piece	67
sold	67
African	67
killed	67
possible	67
White	67
decided	67
comes	67
language	67
primary	67
strong	66
widely	66
Paul	66
man.	66
itself	66
County.	66
metal	66
asked	66
variety	66
center	66
far	66
areas	66
From	66
up.	66
educated	65
dance	65
shall	65
shot	65
shopping	65
call	65
record	65
living	65
house.	65
bright	65
subsequently	65
car.	65
months	65
particularly	65
purple	65
Men	65
primarily	64
groups	64
friends	64
related	64
Another	64
pants	64
seemed	64
fishing	64
dancing	64
House	64
range	64
hit	64
helmet	64
might	64
via	63
Japanese	63
history	63
chair	63
Book	63
games	63
times.	63
example	63
District.	63
process	63
brick	63
Royal	63
feature	63
teams	63
rides	63
placed	63
bus	62
colorful	62
Richard	62
novel	62
western	62
face.	62
mouth	62
history.	62
ancient	62
Old	62
continues	62
directed	62
sign	61
entire	61
parents	61
services	61
elected	61
complex	61
eastern	61
access	61
Charles	61
arms	61
helped	61
kind	61
son,	61
sleeping	61
toy	61
commercial	61
railway	61
ship	60
systems	60
whole	60
southern	60
Indian	60
eyes	60
later.	60
east	60
listed	60
separate	60
later,	60
today.	60
Later	60
station.	60
change	60
base	60
additional	60
other.	60
hear	60
associated	60
president	60
present	60
view	60
passed	60
York.	60
data	60
model	60
that.	59
music.	59
painting	59
door	59
director	59
wanted	59
can't	59
Only	59
period	59
special	59
this,	59
Alice	59
lake	59
centre	59
store	59
season	59
pool	59
course	59
parts	59
friend	59
onto	59
career.	59
caused	59
General	58
class	58
you.	58
table.	58
background	58
position	58
used.	58
River.	58
northern	58
ready	58
artist	58
Canadian	58
added	58
cannot	58
longer	58
tree	58
London	58
radio	58
ride	58
cap	57
source	57
practice	57
outside.	57
Roman	57
control	57
love	57
watch	57
Will	57
uniform	57
certain	57
heard	57
enjoying	57
singing	57
least	57
stop	57
allowed	57
historical	57
return	57
wide	57
goes	57
years,	57
here.	57
Thomas	57
provide	57
money	57
meaning	57
Doctor	57
hand.	57
stone	56
hold	56
event	56
glass	56
tshirt	56
skateboard	56
development	56
air.	56
showing	56
felt	56
read	56
noted	56
Hall	56
addition	56
significant	56
difficult	56
leading	56
younger	56
States.	56
Church	56
head.	56
night.	56
Since	56
knew	55
recent	55
appointed	55
divided	55
Christian	55
beautiful	55
sunglasses	55
information	55
tan	55
speak	55
let	55
case	55
closed	55
Henry	55
start	55
produce	55
grassy	55
Park.	55
Central	55
home.	55
carried	54
cars	54
motorcycle	54
natural	54
Michael	54
heavy	54
striped	54
study	54
already	54
clothes	54
bridge	54
population	54
bird	54
race.	54
project	54
company.	54
program	54
colored	54
news	53
highly	53
Great	53
things	53
down.	53
represented	53
largely	53
Russian	53
laying	53
opened	53
event.	53
rate	53
thing	53
smaller	53
team.	53
jump	52
release	52
survived	52
nine	52
below	52
mouth.	52
mean	52
multiple	52
First	52
low	52
computer	52
Well,	52
Children	52
coming	52
required	52
Although	52
buildings	52
taught	52
Such	52
frequently	52
government.	52
death.	52
round	52
films	52
Now	52
composed	52
That's	51
toward	51
companies	51
President	51
highest	51
space	51
wood	51
critical	51
leave	51
clothing	51
cause	51
driving	51
drinking	51
adults	51
According	51
place.	51
previously	51
offered	51
operates	51
this.	50
success	50
pool.	50
gathered	50
regular	50
match	50
education	50
leaves	50
de	50
events	50
winter	50
region.	50
gets	50
By	50
Who	50
lines	50
types	50
headquarters	50
ran	50
training	50
leaving	50
passes	49
lake.	49
tree.	49
prominent	49
managed	49
annual	49
snowy	49
Also	49
newspaper	49
particular	49
student	49
International	49
cover	49
Following	49
characters	49
pass	49
plant	49
selling	49
didn't	49
succeeded	49
hill	49
court	48
key	48
Catholic	48
themselves	48
idea	48
hockey	48
Western	48
edge	48
probably	48
cut	48
fish	48
stick	48
seems	48
tried	48
playlist.	48
Find	48
Of	48
opening	48
Street	48
gold	48
beside	48
line.	48
reservation	48
now.	48
ended	48
preparing	48
guitar.	48
Minister	48
album.	48
racing	48
hats	48
rest	48
serve	48
offer	48
recording	47
regional	47
flows	47
Women	47
away.	47
Peter	47
words	47
District	47
extended	47
supported	47
reached	47
J.	47
larger	47
phone	47
trick	47
episode	47
Our	47
sea	47
notable	47
gives	47
residents	47
says	46
me,	46
giving	46
positive	46
immediately	46
appear	46
failed	46
sound	46
Jewish	46
subject	46
village.	46
catch	46
fight	46
sand	46
turn	46
needed	46
talk	46
lot	46
City.	46
level	46
aircraft	46
especially	46
region	46
someone	46
awarded	46
painted	46
shown	46
property	46
sunny	46
track.	46
method	46
create	46
finished	46
Group	45
mixed	45
woman.	45
rail	45
lower	45
fruit	45
cross	45
Are	45
structure.	45
store.	45
worker	45
river.	45
except	45
enough	45
stood	45
remain	45
completely	45
wish	45
deep	45
majority	45
arm	45
houses	45
product	45
one.	45
sister	45
continue	45
leader	45
country.	45
parish	45
Italian	45
effect	45
Today	45
you,	45
David	45
filled	44
results	44
Australian	44
bar	44
summer	44
sort	44
poor	44
previous	44
economic	44
location	44
figure	44
Road	44
ground.	44
photo	44
England	44
man,	44
kept	44
complete	44
toddler	44
spoke	44
nearly	44
sports	44
martial	44
College,	43
vest	43
Sir	43
reported	43
Like	43
arts	43
relatively	43
"""the"	43
sure	43
structure	43
media	43
minor	43
introduced	43
More	43
force	43
gather	43
London.	43
changes	43
instruments	43
gained	43
Los	43
Canada.	43
higher	43
move	43
yet	43
back.	43
concept	43
municipality	43
putting	43
energy	43
personal	43
War.	43
founded	42
whether	42
Eastern	42
then,	42
focus	42
huge	42
sweater	42
limited	42
medical	42
future	42
stage.	42
way.	42
object	42
outfit	42
independent	42
studies	42
dry	42
financial	42
County,	42
anything	42
moving	42
therefore	42
Oh,	42
guys	42
claimed	42
names	42
crater	42
relationship	42
cold	42
engine	42
carries	42
language.	42
games.	42
organized	42
railroad	42
slightly	42
example,	42
connected	42
search	42
helps	41
series.	41
believed	41
terms	41
shirts	41
Before	41
industry	41
show.	41
Why	41
material	41
religious	41
contributed	41
economy	41
retired	41
Much	41
drink	41
contained	41
Army	41
post	41
follow	41
corner	41
fourth	41
occur	41
areas.	41
band.	41
2	41
heavily	41
crowd.	41
surrounding	41
Irish	41
civil	40
crowded	40
children,	40
rural	40
signed	40
Today,	40
marked	40
herself	40
likely	40
Don't	40
blood	40
watches	40
refers	40
window.	40
Let	40
Council	40
Air	40
ocean.	40
heart	40
path	40
schedule	40
Joseph	40
actually	40
Bay	40
it?	40
fell	40
movies	40
Northern	40
Island	40
Here	40
proved	40
learning	40
distance	40
Spanish	40
display	40
Public	40
becomes	40
break	40
window	40
unique	40
Club	40
true	40
electric	40
discovered	40
fighting	40
performance	40
individual	40
interest	40
movement	40
market.	40
shortly	39
legal	39
cities	39
goal	39
bag	39
flying	39
lyrics	39
addition,	39
off.	39
competition	39
league	39
trees.	39
Mount	39
Harry	39
right.	39
attached	39
Yes,	39
graduated	39
host	39
border	39
something.	39
win	39
period.	39
dog.	39
why	39
bench.	39
silver	39
serving	39
picture.	39
food.	39
Captain	39
rocks	39
Valley	39
hope	39
use.	38
pair	38
Cemetery	38
oldest	38
Fort	38
setting	38
feel	38
extremely	38
beginning	38
adopted	38
Martin	38
uniforms	38
I've	38
historic	38
Memorial	38
Hill	38
rare	38
adult	38
magazine	38
industry.	38
Thus,	38
Township	38
numbers	38
Lord	38
states	38
A.	38
action	38
settled	38
France.	38
somewhat	38
months.	38
College.	38
attempt	38
theory	38
shop	38
Mary	38
trees	38
initially	38
fellow	38
letter	38
3	38
thus	38
tank	37
owner	37
hundred	37
occurs	37
dedicated	37
sir.	37
smoking	37
asian	37
community.	37
stay	37
problem	37
try	37
flowers	37
coach	37
Best	37
Union	37
degree	37
band's	37
Those	37
Independent	37
suffered	37
nearest	37
forces	37
late	37
Latin	37
School,	37
age	37
floor.	37
singer	37
swing	37
Frank	37
tracks	37
directly	37
bit	37
becoming	36
tall	36
pushing	36
hands.	36
paid	36
cooking	36
that,	36
doesn't	36
eat	36
hanging	36
museum	36
remaining	36
mentioned	36
recently	36
province	36
communities	36
Society	36
I'll	36
clear	36
schools.	36
manager	36
Center	36
earned	36
Creek	36
downtown	36
Rock	36
Also,	36
urban	36
studio	36
foot	36
business.	36
ocean	36
Over	36
Party	36
Town	36
festival	36
hot	36
fire.	36
technology	36
though	36
contain	36
colors	36
pose	36
district.	36
California	35
mountain.	35
gentleman	35
equipment	35
influenced	35
requires	35
Jack	35
influence	35
products	35
administrative	35
Australia.	35
Scottish	35
Under	35
concrete	35
party.	35
closest	35
Where	35
Road.	35
Middle	35
Just	35
statue	35
roads	35
translated	35
although	35
airport	35
ends	35
site.	35
scene	35
towns	35
issues	35
covers	35
microphone.	35
Early	35
campus	35
pay	35
plants	35
Queen	35
route	35
Every	35
forest	35
mind	35
industrial	35
job	35
places	35
trade	35
cart	35
costume	35
I.	35
smile	35
management	35
foreign	35
fence	35
origin	34
wedding	34
follows	34
Because	34
Airport	34
stories	34
Prince	34
wet	34
Court	34
Tom	34
Born	34
Paris.	34
principal	34
fully	34
albums	34
standard	34
share	34
wear	34
books.	34
specific	34
subway	34
Board	34
experience	34
mention	34
completed	34
unincorporated	34
seated	34
upper	34
security	34
Ricardo	34
oil	34
today	34
contemporary	34
Academy	34
collection	34
author	34
software	34
Park,	34
English.	34
vehicle	34
items	34
Thus	34
helping	34
happy	34
intended	34
activities	34
believe	34
tries	34
instead	34
success.	34
shirtless	34
test	34
restaurant.	34
Texas	33
outdoors	33
allows	33
cowboy	33
actor	33
in.	33
golf	33
bring	33
season.	33
side.	33
borders	33
Celia	33
require	33
hours	33
versions	33
promoted	33
watches.	33
crossing	33
writer	33
available.	33
rain	33
expanded	33
officer	33
accepted	33
rights	33
crew	33
sign.	33
problems	33
shoes	33
rarely	33
that's	33
plaid	33
selected	33
basic	33
drive	33
Once	33
Alice.	33
below.	33
steps	33
operating	33
ring	33
simply	33
showed	33
reach	33
parking	33
plastic	33
League	33
closely	33
avoid	33
attempts	33
letters	33
others.	33
another.	33
presented	33
Greek	33
elements	32
bike.	32
settlement	32
initial	32
Among	32
himself.	32
allow	32
Therefore,	32
Christmas	32
meant	32
agreed	32
males	32
university	32
surface	32
alone	32
secondary	32
backpack	32
up,	32
sand.	32
begins	32
defeated	32
Mark	32
throwing	32
operations	32
latter	32
works.	32
Museum	32
rocky	32
school,	32
caught	32
increased	32
greatly	32
approximately	32
Southern	32
ladies	32
act	32
guest	32
greatest	32
However	32
image	32
wasn't	32
state.	32
please	32
meet	32
meat	32
opposite	32
approach	32
Australia	32
weeks	32
growing	32
dropped	32
however.	32
‘I	32
book.	32
useful	31
India.	31
Dutch	31
charge	31
vary	31
programs	31
conducted	31
services.	31
sources	31
finally	31
empty	31
techniques	31
musicians	31
horses	31
science	31
hosts	31
occasionally	31
entered	31
application	31
literary	31
shirt.	31
him,	31
attack	31
stations	31
animals	31
Germany.	31
rule	31
plan	31
service.	31
result,	31
forecast	31
wife,	31
hosted	31
nickname	31
streets	31
adjacent	31
arranged	31
gas	31
culture	31
cutting	31
Second	31
morning	31
nearby.	31
cast	31
resides	31
Additionally,	31
languages	31
formerly	31
knowledge	31
operation	31
mayor	31
platform	31
whom	31
confirmed	31
article	31
Your	31
performs	31
graduate	31
library	31
Six	31
wait	31
Bill	31
leaning	31
council	31
issue	31
announced	31
coffee	31
drawn	31
cultural	31
code	31
destroyed	31
winner	31
care	31
straight	31
account	31
ordered	31
level.	31
chasing	30
rock.	30
evidence	30
Battle	30
amount	30
damage	30
identified	30
stopped	30
Miss	30
forward	30
learned	30
achieved	30
Upon	30
Green	30
bed	30
recognized	30
nature	30
office.	30
stated	30
cat	30
wave	30
speaking	30
easily	30
block	30
visited	30
paper.	30
audience.	30
plane	30
cellphone	30
couldn't	30
fall	30
receive	30
No,	30
represent	30
deal	30
organization	30
changing	30
double	30
staring	30
Have	30
seem	30
suburb	30
women's	30
digital	30
proposed	30
editor	30
township	30
Chief	30
Jones	30
extensive	30
tour	30
flight	30
website	30
models	30
leg	30
Rate	30
finds	30
bottom	30
Santa	30
color	30
online	29
section	29
situation	29
events.	29
Music	29
size	29
Blue	29
report	29
again,	29
week	29
tourist	29
fast	29
consisted	29
chain	29
train.	29
moment	29
mountains.	29
door.	29
greater	29
Soon	29
died.	29
pretty	29
shallow	29
Edward	29
earlier	29
otherwise	29
skirt	29
sun	29
atop	29
birds	29
island.	29
finish	29
us.	29
king	29
broken	29
strange	29
interior	29
examples	29
Party.	29
speaks	29
simple	29
Now,	29
derived	29
outdoors.	29
reports	29
myself	29
rank	29
Service	29
passenger	29
world's	29
tower	29
health	29
write	29
branch	29
understand	29
genus	29
expected	29
days.	29
resulted	29
parked	29
name,	29
all.	29
portion	29
Someone	29
Island.	29
twelve	29
date	29
knows	29
constructed	29
cell	29
center.	29
entirely	29
attacked	29
Football	29
facing	29
effects	29
countries	28
cleaning	28
law.	28
laid	28
traffic	28
swim	28
volleyball	28
Person	28
Europe.	28
Lee	28
Columbia	28
increase	28
needs	28
Without	28
player.	28
Later,	28
bought	28
public.	28
Chicago	28
cost	28
inspired	28
there,	28
separated	28
What's	28
papers	28
Texas.	28
agricultural	28
ramp	28
you're	28
remember	28
machine.	28
differences	28
walked	28
rider	28
garden	28
battle	28
build	28
Ireland.	28
brothers	28
society	28
Hong	28
army	28
response	28
swinging	28
work,	28
broke	28
watch.	28
value	28
rich	28
heads	28
travel	28
regarded	28
Navy	28
trained	28
spread	28
cried	28
bad	28
pulled	28
regularly	28
goods	28
competition.	28
Lady	28
executive	28
skateboarder	28
responsible	28
Award	28
girl.	28
too.	27
perhaps	27
speed	27
form.	27
smiles	27
Community	27
sons	27
brother,	27
times,	27
strongly	27
Girl	27
youth	27
teaching	27
shop.	27
distinct	27
Boy	27
press	27
powerful	27
design.	27
Within	27
Council.	27
titled	27
Cemetery.	27
group.	27
direct	27
money.	27
Alexander	27
concert	27
split	27
bunch	27
town's	27
Smith	27
enter	27
Major	27
trail	27
point.	27
network	27
Institute	27
roof	27
club.	27
Grand	27
engaged	27
applied	27
matter	27
per	27
God	27
smiling.	27
growth	27
people,	27
5	27
attend	27
Students	27
Even	27
garden.	27
pictures	27
Virginia	27
potential	27
animated	27
renamed	27
gone	27
despite	27
everything	27
bridge.	27
equipment.	27
performance.	27
equivalent	27
determined	27
meeting	27
square	27
incorporated	27
I’m	27
pieces	27
scored	27
film.	27
Hall.	27
flag	27
electronic	27
string	26
yard	26
character.	26
pulling	26
images	26
chief	26
reviews	26
Shortly	26
you?	26
drinks	26
poses	26
hill.	26
obtained	26
buy	26
decision	26
exactly	26
frequent	26
label	26
campaign	26
leads	26
peace	26
France	26
appearance	26
formal	26
end.	26
producer	26
compared	26
cigarette	26
solo	26
plate	26
beyond	26
Canada	26
unknown	26
Tony	26
steel	26
Big	26
Van	26
daily	26
cream	26
kitchen	26
animal	26
twice	26
period,	26
America.	26
now,	26
loved	26
opposed	26
election	26
attention	26
long.	26
Sometimes	26
Pacific	26
dear	26
languages.	26
Association.	26
causes	26
severe	26
on,	26
governed	26
Area.	26
mother.	26
advanced	26
safety	26
chair.	26
lay	26
climate	26
child.	26
cancer	26
easy	26
Street.	26
division	26
teacher	26
League.	26
buildings.	26
Chris	26
rose	26
microphone	26
fact,	26
underground	26
refused	26
marriage	26
feet	26
tracks.	26
drew	25
don’t	25
Mike	25
Europe	25
cases	25
Meanwhile,	25
boots	25
supports	25
more.	25
amongst	25
victory	25
war.	25
frame	25
fishing.	25
Soviet	25
sat	25
earliest	25
Long	25
species.	25
turns	25
exist	25
treated	25
alongside	25
Japan.	25
overall	25
starred	25
association	25
theme	25
instrument	25
classical	25
lit	25
dead	25
castle	25
life,	25
wind	25
century.	25
flower	25
represents	25
fields	25
bank	25
out,	25
climbs	25
kitchen.	25
case.	25
farm	25
enjoys	25
course.	25
House.	25
merely	25
woods.	25
residential	25
Washington	25
Boston	25
critics.	25
dresses	25
London,	25
Did	25
surfer	25
Junior	25
individuals	25
unit	25
Africa.	25
domestic	25
Through	25
passing	25
practicing	25
Olympic	25
skateboarding	25
known.	25
driver	25
condition	25
captured	25
functions	25
Bob	25
hour	25
kid	25
function	25
accept	25
lying	25
sings	25
fence.	25
activity	25
policy	25
struck	25
project.	25
bass	25
bar.	25
comedy	24
Bruce	24
Nothing	24
sought	24
founding	24
protect	24
goggles	24
countries.	24
There's	24
nor	24
maintained	24
education.	24
shore	24
release.	24
shook	24
Illinois.	24
answer	24
Records.	24
sides	24
revealed	24
operate	24
noted.	24
significantly	24
day,	24
Helene	24
Station	24
flow	24
instead.	24
jazz	24
levels	24
fact	24
eyes.	24
it!	24
students.	24
subsequent	24
Brown	24
itself.	24
reaction	24
speech	24
cancer.	24
long,	24
denied	24
vests	24
"""You"	24
Florida.	24
listen	24
calls	24
methods	24
details	24
summer.	24
company's	24
Unlike	24
her,	24
founder	24
conservative	24
chosen	24
interred	24
objects	24
Instead,	24
employed	24
pole	24
officers	24
set.	24
China.	24
Art	24
records	24
focused	24
know.	24
Day	24
swings	24
chairs	24
retained	24
credited	24
actual	24
around.	24
normal	24
award	24
debut	24
surface.	24
visible	24
notes	24
Lewis	24
men.	24
Museum.	24
orders	24
not.	24
cricket	24
order.	24
Township.	24
ask	24
crosses	24
conversation	24
diving	24
neighborhood	24
staff	24
football.	24
Point	24
steep	24
device	24
generation	23
fountain.	23
episodes	23
story.	23
lack	23
characterized	23
is,	23
maintains	23
adapted	23
Civil	23
Love	23
refer	23
clearly	23
daughter.	23
contract	23
northwest	23
underneath	23
hospital	23
displayed	23
About	23
space.	23
department	23
laughing	23
talks	23
grow	23
climb	23
America	23
figures	23
kissing	23
B.	23
classes	23
bearded	23
locations	23
existing	23
released.	23
beard	23
acting	23
partner	23
husband	23
enjoy	23
Various	23
companies.	23
linked	23
tropical	23
elementary	23
box	23
piano	23
devoted	23
families	23
claims	23
listening	23
sky.	23
death,	23
court.	23
birth	23
ultimately	23
instrument.	23
literature	23
headed	23
China	23
join	23
platform.	23
conditions	23
combined	23
reason	23
thrown	23
white.	23
Native	23
necessary	23
worn	23
comic	23
none	23
conference	23
&	23
nominated	23
textbook	23
stadium	23
titles	23
reads	23
mountains	23
crying	23
Due	23
reduced	23
designated	23
sense	23
audience	23
plans	23
Very	23
memory	23
total	23
first.	23
theatre	23
fairly	23
Historic	23
estate	23
swing.	23
mascot	23
housing	23
range.	23
Local	23
improve	23
say,	23
attracted	23
vehicle.	23
Germany	23
planned	23
Department	23
was,	23
command	23
prior	23
appearances	23
lie	23
Social	23
No.	23
analysis	23
sporting	22
daughter,	22
seat.	22
blowing	22
property.	22
truck	22
truck.	22
gun	22
Virginia.	22
bags	22
open.	22
wants	22
fine	22
miles	22
brand	22
voice.	22
expansion	22
Others	22
Seven	22
score	22
won't	22
observed	22
coast	22
Along	22
pick	22
ships	22
Cross	22
status	22
skiing	22
promote	22
borough	22
purposes.	22
protected	22
else	22
charged	22
Would	22
points.	22
minutes	22
supporting	22
unusual	22
paint	22
mission	22
highway	22
song.	22
removed	22
Forest	22
pressure	22
St.	22
walking.	22
bicycle.	22
chemical	22
Association	22
actress	22
s	22
skating	22
belongs	22
graffiti	22
leaps	22
kill	22
forced	22
Fox	22
List	22
Internet	22
M.	22
theater	22
fresh	22
Williams	22
acquired	22
transportation	22
reaching	22
southeast	22
secret	22
scientific	22
Bishop	22
legs	22
throws	22
save	22
stairs.	22
mass	22
instruments.	22
by.	22
hits	22
We're	22
Part	22
suggested	22
merged	22
fifth	22
academic	22
Wilson	22
banks	22
do.	22
album,	22
tells	22
hitting	22
landscape	22
course,	22
normally	22
gloves	22
Club.	22
boats	22
decorated	22
arrested	22
apron	22
wave.	22
trains	22
pilot	22
movement.	22
attempted	22
sixth	22
carefully	22
sandy	22
effective	22
artists	22
costumes	22
fan	22
wears	22
pop	22
athletic	22
performer	22
facility	22
cliff	22
basis	22
Police	22
grown	22
Republican	22
weekly	22
Carolina	22
tournament	22
golden	22
villages	22
and,	22
Joe	22
Village	22
issued	22
Modern	22
drummer	22
writes	22
competing	22
only.	22
Governor	22
Congress	22
paintings	22
herself.	22
motorcycle.	22
"""A"	22
entrance	22
inhabited	21
windows	21
stand.	21
left.	21
daughters.	21
million	21
awards	21
I'd	21
amateur	21
physical	21
sang	21
composition	21
done.	21
missing	21
fallen	21
fans	21
model.	21
rope	21
indoor	21
glad	21
Construction	21
too,	21
characteristic	21
unable	21
meal	21
Further	21
resulting	21
prevent	21
darkhaired	21
valley	21
pile	21
flat	21
northeast	21
slide	21
classic	21
chose	21
systems.	21
lines.	21
colour	21
attempting	21
